product_id,product_name,category,date,quantity_sold,revenue,unit_price,store_id
1,Product 1,Beverages,2025-04-14T23:50:25.296365,41,1007.06,25.68,store_5
1,Product 1,Beverages,2025-04-15T23:50:25.296379,37,1016.68,25.68,store_3
1,Product 1,Beverages,2025-04-16T23:50:25.296385,30,832.73,25.68,store_3
1,Product 1,Beverages,2025-04-17T23:50:25.296389,40,1047.81,25.68,store_5
1,Product 1,Beverages,2025-04-18T23:50:25.296391,37,1013.57,25.68,store_4
1,Product 1,Beverages,2025-04-19T23:50:25.296394,41,985.87,25.68,store_5
1,Product 1,Beverages,2025-04-20T23:50:25.296396,25,654.48,25.68,store_5
1,Product 1,Beverages,2025-04-21T23:50:25.296398,40,957.04,25.68,store_4
1,Product 1,Beverages,2025-04-22T23:50:25.296400,33,817.98,25.68,store_3
1,Product 1,Beverages,2025-04-23T23:50:25.296402,28,657.5,25.68,store_3
1,Product 1,Beverages,2025-04-24T23:50:25.296404,32,866.54,25.68,store_5
1,Product 1,Beverages,2025-04-25T23:50:25.296406,37,964.9,25.68,store_2
1,Product 1,Beverages,2025-04-26T23:50:25.296408,25,585.66,25.68,store_4
1,Product 1,Beverages,2025-04-27T23:50:25.296410,38,965.89,25.68,store_1
1,Product 1,Beverages,2025-04-28T23:50:25.296412,32,895.2,25.68,store_1
1,Product 1,Beverages,2025-04-29T23:50:25.296414,28,761.36,25.68,store_5
1,Product 1,Beverages,2025-04-30T23:50:25.296416,36,948.13,25.68,store_4
1,Product 1,Beverages,2025-05-01T23:50:25.296417,30,765.39,25.68,store_5
1,Product 1,Beverages,2025-05-02T23:50:25.296419,49,1315.67,25.68,store_3
1,Product 1,Beverages,2025-05-03T23:50:25.296421,26,677.43,25.68,store_5
1,Product 1,Beverages,2025-05-04T23:50:25.296423,29,734.29,25.68,store_2
1,Product 1,Beverages,2025-05-05T23:50:25.296425,38,973.95,25.68,store_5
1,Product 1,Beverages,2025-05-06T23:50:25.296427,42,1153.26,25.68,store_2
1,Product 1,Beverages,2025-05-07T23:50:25.296429,37,875.74,25.68,store_5
1,Product 1,Beverages,2025-05-08T23:50:25.296431,37,967.41,25.68,store_3
1,Product 1,Beverages,2025-05-09T23:50:25.296433,50,1365.11,25.68,store_3
1,Product 1,Beverages,2025-05-10T23:50:25.296436,34,925.61,25.68,store_1
1,Product 1,Beverages,2025-05-11T23:50:25.296438,41,1123.96,25.68,store_4
1,Product 1,Beverages,2025-05-12T23:50:25.296442,33,785.37,25.68,store_3
1,Product 1,Beverages,2025-05-13T23:50:25.296444,29,719.4,25.68,store_3
1,Product 1,Beverages,2025-05-14T23:50:25.296446,37,918.2,25.68,store_3
1,Product 1,Beverages,2025-05-15T23:50:25.296448,33,832.94,25.68,store_5
1,Product 1,Beverages,2025-05-16T23:50:25.296449,32,832.51,25.68,store_4
1,Product 1,Beverages,2025-05-17T23:50:25.296451,72,1999.77,25.68,store_2
1,Product 1,Beverages,2025-05-18T23:50:25.296453,35,900.53,25.68,store_3
1,Product 1,Beverages,2025-05-19T23:50:25.296455,48,1207.82,25.68,store_3
1,Product 1,Beverages,2025-05-20T23:50:25.296457,41,1047.7,25.68,store_1
1,Product 1,Beverages,2025-05-21T23:50:25.296459,39,965.91,25.68,store_2
1,Product 1,Beverages,2025-05-22T23:50:25.296461,43,1044.56,25.68,store_3
1,Product 1,Beverages,2025-05-23T23:50:25.296463,32,899.91,25.68,store_2
1,Product 1,Beverages,2025-05-24T23:50:25.296465,47,1133.31,25.68,store_3
1,Product 1,Beverages,2025-05-25T23:50:25.296467,48,1239.96,25.68,store_4
1,Product 1,Beverages,2025-05-26T23:50:25.296469,29,802.51,25.68,store_4
1,Product 1,Beverages,2025-05-27T23:50:25.296470,69,1596.64,25.68,store_4
1,Product 1,Beverages,2025-05-28T23:50:25.296472,29,708.43,25.68,store_4
1,Product 1,Beverages,2025-05-29T23:50:25.296474,51,1432.52,25.68,store_5
1,Product 1,Beverages,2025-05-30T23:50:25.296476,44,1171.2,25.68,store_3
1,Product 1,Beverages,2025-05-31T23:50:25.296478,38,908.61,25.68,store_5
1,Product 1,Beverages,2025-06-01T23:50:25.296480,31,794.73,25.68,store_3
1,Product 1,Beverages,2025-06-02T23:50:25.296482,33,868.15,25.68,store_3
1,Product 1,Beverages,2025-06-03T23:50:25.296484,45,1071.27,25.68,store_1
1,Product 1,Beverages,2025-06-04T23:50:25.296486,30,847.32,25.68,store_3
1,Product 1,Beverages,2025-06-05T23:50:25.296489,42,1136.51,25.68,store_2
1,Product 1,Beverages,2025-06-06T23:50:25.296491,32,850.2,25.68,store_2
1,Product 1,Beverages,2025-06-07T23:50:25.296493,40,1108.78,25.68,store_5
1,Product 1,Beverages,2025-06-08T23:50:25.296495,27,708.41,25.68,store_1
1,Product 1,Beverages,2025-06-09T23:50:25.296497,39,955.72,25.68,store_4
1,Product 1,Beverages,2025-06-10T23:50:25.296499,54,1379.73,25.68,store_4
1,Product 1,Beverages,2025-06-11T23:50:25.296501,53,1329.2,25.68,store_2
1,Product 1,Beverages,2025-06-12T23:50:25.296503,43,1192.44,25.68,store_5
1,Product 1,Beverages,2025-06-13T23:50:25.296505,52,1383.16,25.68,store_5
1,Product 1,Beverages,2025-06-14T23:50:25.296507,28,679.74,25.68,store_5
1,Product 1,Beverages,2025-06-15T23:50:25.296509,48,1273.01,25.68,store_5
1,Product 1,Beverages,2025-06-16T23:50:25.296511,56,1387.36,25.68,store_5
1,Product 1,Beverages,2025-06-17T23:50:25.296513,30,761.2,25.68,store_3
1,Product 1,Beverages,2025-06-18T23:50:25.296515,34,818.61,25.68,store_5
1,Product 1,Beverages,2025-06-19T23:50:25.296518,50,1347.99,25.68,store_4
1,Product 1,Beverages,2025-06-20T23:50:25.296520,44,1193.31,25.68,store_4
1,Product 1,Beverages,2025-06-21T23:50:25.296522,39,938.85,25.68,store_5
